table,group,metric,mean,ci_lo,ci_hi
Table5_faithpert,GradCAM,del_clean,0.291,0.241,0.345
Table5_faithpert,GradCAM,del_pert,0.841,0.627,1.138
Table5_faithpert,GradCAM,ins_clean,0.386,0.309,0.473
Table5_faithpert,GradCAM,ins_pert,2.107,0.938,4.225
Table5_faithpert,GradCAM++,del_clean,0.291,0.242,0.34
Table5_faithpert,GradCAM++,del_pert,1.272,0.719,2.17
Table5_faithpert,GradCAM++,ins_clean,0.392,0.318,0.479
Table5_faithpert,GradCAM++,ins_pert,1.56,0.808,2.959
Table5_faithpert,EigenCAM,del_clean,0.293,0.247,0.343
Table5_faithpert,EigenCAM,del_pert,1.187,0.722,1.91
Table5_faithpert,EigenCAM,ins_clean,0.432,0.356,0.512
Table5_faithpert,EigenCAM,ins_pert,1.548,0.826,2.891
Table5_faithpert,LayerCAM,del_clean,0.293,0.247,0.342
Table5_faithpert,LayerCAM,del_pert,1.354,0.768,2.204
Table5_faithpert,LayerCAM,ins_clean,0.393,0.318,0.479
Table5_faithpert,LayerCAM,ins_pert,1.661,0.867,3.132
Table1_predcons,resnet50,identity,1.0,1.0,1.0
Table1_predcons,resnet50,blur,0.621,0.553,0.689
Table1_predcons,resnet50,rotate,0.832,0.779,0.884
Table1_predcons,resnet50,brightness,0.947,0.916,0.974
Table1_predcons,resnet50,noise,0.532,0.458,0.6
Table1_predcons,efficientnet_b0,identity,1.0,1.0,1.0
Table1_predcons,efficientnet_b0,blur,0.532,0.463,0.605
Table1_predcons,efficientnet_b0,rotate,0.774,0.716,0.832
Table1_predcons,efficientnet_b0,brightness,0.947,0.911,0.979
Table1_predcons,efficientnet_b0,noise,0.695,0.626,0.758
