backbone,method,metric,n,mean,ci_lo,ci_hi
efficientnet_b0,EigenCAM,deletion_auc,38,0.2124158154092009,0.16816558700441084,0.2606997501388794
efficientnet_b0,EigenCAM,insertion_auc,38,0.6109603822023736,0.5488856660022421,0.6697331031996773
efficientnet_b0,EigenCAM,average_drop,38,66.47058107222783,54.772897921430285,76.98253652173928
efficientnet_b0,GradCAM,deletion_auc,38,0.1947925702620667,0.15677967788441158,0.23363509637472243
efficientnet_b0,GradCAM,insertion_auc,38,0.6257745707884934,0.5627038971759668,0.6879239386315976
efficientnet_b0,GradCAM,average_drop,38,19.85713213705384,11.641859663347361,29.061268687769584
efficientnet_b0,GradCAM++,deletion_auc,38,0.1867914572586654,0.14750960769308818,0.22635757988311928
efficientnet_b0,GradCAM++,insertion_auc,38,0.6208614796068632,0.561291077080443,0.6775686662528734
efficientnet_b0,GradCAM++,average_drop,38,45.59567551999691,34.16003433173175,57.010115988060605
efficientnet_b0,LayerCAM,deletion_auc,38,0.18343945429568476,0.14605094048939463,0.22274215373133782
efficientnet_b0,LayerCAM,insertion_auc,38,0.6215619186223769,0.5624524853004257,0.6797890343736646
efficientnet_b0,LayerCAM,average_drop,38,45.11907984518598,33.456204771630745,57.423300138498476
efficientnet_b0,ScoreCAM,deletion_auc,12,0.21404750836882158,0.13110024925397737,0.30740348582676835
efficientnet_b0,ScoreCAM,insertion_auc,12,0.7012498902855442,0.6157347986156916,0.769939628902648
efficientnet_b0,ScoreCAM,average_drop,12,37.913933624632584,17.70066677320736,58.42555901129616
resnet50,EigenCAM,deletion_auc,38,0.3992684741194784,0.3338425840018308,0.46587572713687936
resnet50,EigenCAM,insertion_auc,38,0.561748635063386,0.503034549370892,0.6198889731350153
resnet50,EigenCAM,average_drop,38,57.81126001845107,47.144078788511095,68.6015711772266
resnet50,GradCAM,deletion_auc,38,0.36325271726119884,0.3079165247320266,0.422810180379843
resnet50,GradCAM,insertion_auc,38,0.5592858609305327,0.4988433955625095,0.6217926853181761
resnet50,GradCAM,average_drop,38,35.63536134195641,25.780386351517652,47.09037755014044
resnet50,GradCAM++,deletion_auc,38,0.3932886217556598,0.3329522200621688,0.4563301968488811
resnet50,GradCAM++,insertion_auc,38,0.5581552186200355,0.4929256241229059,0.6207691560556355
resnet50,GradCAM++,average_drop,38,36.89533616996726,26.592358176405426,47.89235174672553
resnet50,LayerCAM,deletion_auc,38,0.3913163770583519,0.3283307119485167,0.4597819821522236
resnet50,LayerCAM,insertion_auc,38,0.5592475260438733,0.4962754083478703,0.6197639107881197
resnet50,LayerCAM,average_drop,38,36.91868637370359,26.252921723650715,47.62831241302772
