backbone,method_a,method_b,mean_diff_pearson,p_raw,p_holm,sig_holm_0.05
resnet50,GradCAM,GradCAM++,-0.10930630183032197,7.920032658148557e-06,2.376009797444567e-05,True
resnet50,GradCAM,EigenCAM,-0.10315033390560224,5.48507523490116e-06,2.272685378557071e-05,True
resnet50,GradCAM,LayerCAM,-0.11305167069507027,4.545370757114142e-06,2.272685378557071e-05,True
resnet50,GradCAM++,EigenCAM,0.00615596792471973,0.37275207138009137,0.7455041427601827,False
resnet50,GradCAM++,LayerCAM,-0.0037453688647482997,1.7280399333685637e-08,1.0368239600211382e-07,True
resnet50,EigenCAM,LayerCAM,-0.00990133678946803,0.4727372199558886,0.7455041427601827,False
efficientnet_b0,GradCAM,GradCAM++,-0.10033296353780718,0.0026745298237074167,0.014427166694076732,True
efficientnet_b0,GradCAM,EigenCAM,-0.05222146024095864,0.05304903067735722,0.15914709203207167,False
efficientnet_b0,GradCAM,LayerCAM,-0.10147161227251733,0.002404527782346122,0.014427166694076732,True
efficientnet_b0,GradCAM++,EigenCAM,0.048111503296848546,0.9657047467626398,1.0,False
efficientnet_b0,GradCAM++,LayerCAM,-0.001138648734710146,0.003653016763564665,0.01461206705425866,True
efficientnet_b0,EigenCAM,LayerCAM,-0.04925015203155869,1.0,1.0,False
