backbone,method,transform,metric,n,mean,ci_lo,ci_hi
efficientnet_b0,EigenCAM,blur,pearson,38,0.8107063905268176,0.6854246679531928,0.904671613036512
efficientnet_b0,EigenCAM,blur,ssim,38,0.7640782384221313,0.6916307554313185,0.8273903736072494
efficientnet_b0,EigenCAM,blur,iou,38,0.6695752801936695,0.5845266488162527,0.7483459637174757
efficientnet_b0,EigenCAM,rotate,pearson,38,0.6706634773511102,0.49838695331258615,0.8249671033422792
efficientnet_b0,EigenCAM,rotate,ssim,38,0.6582531781828674,0.5730431004315819,0.7326502052407204
efficientnet_b0,EigenCAM,rotate,iou,38,0.5986633701548767,0.49412477031657304,0.6934771138124635
efficientnet_b0,EigenCAM,brightness,pearson,38,0.990681563281918,0.9765007917360472,0.998306227551546
efficientnet_b0,EigenCAM,brightness,ssim,38,0.9795131034134535,0.9641301517600667,0.9892935739052906
efficientnet_b0,EigenCAM,brightness,iou,38,0.9303140830973802,0.8838987588904113,0.9597930121206816
efficientnet_b0,EigenCAM,noise,pearson,38,0.8222013635240519,0.6898628743112011,0.9317885978856921
efficientnet_b0,EigenCAM,noise,ssim,38,0.806989801101502,0.7306912343106328,0.8740206621411523
efficientnet_b0,EigenCAM,noise,iou,38,0.6972295103491816,0.6056391829969381,0.7792022437641343
efficientnet_b0,GradCAM,blur,pearson,38,0.6063149961309724,0.474263425579703,0.7223242288053792
efficientnet_b0,GradCAM,blur,ssim,38,0.6678535763532566,0.6006564884517231,0.7355806505690476
efficientnet_b0,GradCAM,blur,iou,38,0.41990642747534634,0.3415546284155381,0.49642939484184745
efficientnet_b0,GradCAM,rotate,pearson,38,0.7577244726158366,0.6694729719511711,0.8284308152733598
efficientnet_b0,GradCAM,rotate,ssim,38,0.7437887020396292,0.7173325722674011,0.7720148324010668
efficientnet_b0,GradCAM,rotate,iou,38,0.5559767432909135,0.4851928556073633,0.625313255591175
efficientnet_b0,GradCAM,brightness,pearson,38,0.9799367173983229,0.9611071143656897,0.9924253954188892
efficientnet_b0,GradCAM,brightness,ssim,38,0.9780833605955862,0.9683448669334745,0.9858370517516138
efficientnet_b0,GradCAM,brightness,iou,38,0.8579396536442726,0.7971910052449842,0.9030539205574796
efficientnet_b0,GradCAM,noise,pearson,38,0.7413907675749318,0.6414852064667236,0.8266975922657094
efficientnet_b0,GradCAM,noise,ssim,38,0.7605023997318238,0.7067819765245958,0.8072132576716
efficientnet_b0,GradCAM,noise,iou,38,0.5820517333954532,0.5135251142171081,0.6484051553274073
efficientnet_b0,GradCAM++,blur,pearson,38,0.7802489634180665,0.7003652551026828,0.8458935035598187
efficientnet_b0,GradCAM++,blur,ssim,38,0.6919520936277301,0.6375658161429131,0.7396068700882301
efficientnet_b0,GradCAM++,blur,iou,38,0.5709155899624392,0.49333773157605854,0.643114934625072
efficientnet_b0,GradCAM++,rotate,pearson,38,0.8213127195983924,0.7555036817415163,0.8734136077685567
efficientnet_b0,GradCAM++,rotate,ssim,38,0.7056321175418121,0.6689035094587474,0.7385284720424595
efficientnet_b0,GradCAM++,rotate,iou,38,0.6099541784011039,0.5432711905694947,0.6732387221325936
efficientnet_b0,GradCAM++,brightness,pearson,38,0.9834704280185655,0.9618570961304022,0.9956057607280289
efficientnet_b0,GradCAM++,brightness,ssim,38,0.9767673401503189,0.9627926481494345,0.9863999718843044
efficientnet_b0,GradCAM++,brightness,iou,38,0.8912883360454432,0.8440156500856737,0.9296251039131375
efficientnet_b0,GradCAM++,noise,pearson,38,0.9016666968362679,0.8572375798173871,0.9367848944418957
efficientnet_b0,GradCAM++,noise,ssim,38,0.8083172614964146,0.7780646351664577,0.8388915677109064
efficientnet_b0,GradCAM++,noise,iou,38,0.6833183076325258,0.6270851904465451,0.7328643692538505
efficientnet_b0,LayerCAM,blur,pearson,38,0.7811342945946677,0.7007018199333068,0.8535521923118583
efficientnet_b0,LayerCAM,blur,ssim,38,0.6976494597412086,0.6438524478442463,0.7462366723776687
efficientnet_b0,LayerCAM,blur,iou,38,0.5710281378247736,0.4994320430253392,0.640135845808494
efficientnet_b0,LayerCAM,rotate,pearson,38,0.8231592947709944,0.7592938846833116,0.8771417021336742
efficientnet_b0,LayerCAM,rotate,ssim,38,0.708290055696139,0.674266882956029,0.7427149756659255
efficientnet_b0,LayerCAM,rotate,iou,38,0.6130688512843655,0.5449841366255298,0.6751893318730948
efficientnet_b0,LayerCAM,brightness,pearson,38,0.9833142460189244,0.9646635449013176,0.9958296723328006
efficientnet_b0,LayerCAM,brightness,ssim,38,0.9778480848768035,0.9651861404685926,0.9870743021960112
